Criterion ID,Criterion name,Relevance based on use case parametrization,Evaluation requirement,Evaluation principle,Supportive guidance,Evaluation method,Evaluation tools,Reference to EU AI Act
DQM-01,Data planning,"• Traning of at least one integrated model was performed partially (e.g., with finetuning) or 
from scratch (Q5) ",The data planning process shall be documented ,Document-based ,"Supplementary Definitions 
Data planning: The process of strategically defining how data will be collected, processed, man­
aged, stored, analyzed, and maintained to meet organizational objectives and compliance re­
quirements. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
The data planning process should consider at least the following elements: 
- The data model or data architecture necessary to achieve the data requirements; 
- Plan for acquiring the necessary data as identified by the data requirements; 
- Roles, skills and people necessary to execute the data quality process; 
- IT and other resources necessary to execute the data quality process; 
- Time and budget necessary to execute the data quality process; 
- Acquiring the data according to the data requirements; 
- Executing data quality measures according to the data quality model; 
- Meeting legal requirements; 
- Meeting other data requirements. 
53 ","Verifythatthedataplanningwasperformedanddocumentedaccordingly. Considerationsshould 
be given to the listed elements in the supportive guidance. ",Not applicable. ,"- 10 Data and data governance 
- 11 Technical Documentation 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
54 "
DQM-02,Data acquisition,"• Traning of at least one integrated model was performed partially (e.g., with finetuning) or 
from scratch (Q5) ",The data acquisition shall be documented. ,Document-based ,"Supplementary Definitions 
Dataacquisition: Theprocessofcollecting,measuringorobtainingrawdatafromvarioussources 
to be used for training and validating machine learning models. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Considerations regarding data provenance should be given to: 
- Compliance with the elements defined in the data planning process; 
- Adherence to the principles of the data quality process; 
- Data Ownership and Responsibility; 
- Data Licensing and Usage Rights; 
- Key data attributes identified during the data requirements process, such as provenance, bias, 
consistency, reliability, validity, data types, schema, format, and low data noise; 
- The source of the data, whether it is internal or external; 
- Verification of the trustworthiness of each data source used; 
- The data collection process, specifying if it was conducted by humans, automated sensors, or 
55 
both; 
- The method of data collection, such as surveys or streaming; 
- In the case of personal data, the original purpose of data collection. ","Verify that the data acquisition is adequately documented, see the supporting guidance for an 
indication of what should be included in the documentation. ",Not applicable. ,"- 10 Data and data governance 
- 11 Technical Documentation 
- 17 Quality management system (QMS) 
- 18 Documentation keeping 
56 "
DQM-03,Data quality requirements,"• Traning of at least one integrated model was performed partially (e.g., with finetuning) or 
from scratch (Q5) ",Data Requirements and data quality management shall be documented ,Document-based ,"Supplementary Definitions 
Data quality: The degree to which data meets the standards for (among others) consistency, in­
formativeness, representativeness, timeliness, validity, reliability, completeness. 
Data Management: The practice of organizing, storing, protecting and maintaining data to en­
sure its quality, accessibility, and usability throughout its lifecycle. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Data requirements should consider at least the following elements: 
- Definition of quality standards, including accuracy, consistency, completeness, and timeliness 
of the data; 
- Specification of necessary attributes or features that the data must contain to support model 
training; 
- Determination of the volume of data needed to achieve reliable results and generalization; 
- Assessment of statistical measures such as mean, variance, and distribution characteristics to 
understand dataset behavior; 
57 
-Assurance that the dataset accurately represents the population in terms of demographics, be­
haviors, and geographies relevant to the problem; 
- Compliance with regulations (e.g., GDPR) and ethical guidelines regarding data privacy and us­
age; 
- Clear guidelines on which data to include or exclude based on specific attributes or quality 
metrics; 
- Uncertainty and variability assessment; 
- Annotation Requirements for how data should be labelled or categorized, including quality 
assurance measures; 
- Inclusion and exclusion criteria for data based on relevant attributes; 
- Technical inclusion and exclusion criteria; 
- Guidelines on whether and how synthetic data can be used to augment the dataset; 
- Processes for evaluating, resolving, and closing data quality issues; 
- Regular reviews and validations of the quality and relevance of the data throughout the model 
lifecycle. ","Verify that the data requirements were developed and documented accordingly. Considerations 
should be given to the listed elements in the supportive guidance. ",Not applicable. ,"- 10 Data and data governance 
- 11 Technical Documentation 
- 13 Transparency and provision of information to deployers 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
58 "
DQM-04,Data quality assessment,"• Traning of at least one integrated model was performed partially (e.g., with finetuning) or 
from scratch (Q5) ","The quality of gathered data shall be assessed and documented with [measures] and [corrective 
measures] shall be in place to ensure stability. ",Test-based ,"Supplementary Definitions 
Stability: In the context of data, it refers to the degree to which data remains consistent, reli­
able and unchanged over time or under varying conditions. It is critical for maintaining trust in 
data-driven processes, ensuring consistency, and supporting robust decision-making. 
Exemplary [parameters] 
[measures]: Data Validation, Consistency Check, Bias Detection Tools, Statistical (Power) Analy­
sis, cross-validation of labels 
[corrective measures]: LabelFix, Bias Correction Tools, Trigger model retraining when data shift 
is detected. 
Additional guidance regarding the requirement 
Requirements according to DQM-03. 
59 ","Verify that a process for continuous assessment of data quality is in place and documented. Also 
verify that data subject to this process meets consistency, reliability, and bias-free standards, 
with corrective actions in place. The required data properties and key figures about the data 
that shall be validated are based on the data requirements (see DQM-03) directly or indirectly 
induced by performance/ functional requirements of the system. Examples for testing tools 
and corresponding data properties to test can be found in the column ”Evaluation tool”. ","- TensorFlow Data Validation - can be used to analyze dataset distribution, detect anomalies.. 
- LabelFix - can be used to identify inconsistencies, and ensure labeling quality. 
Statistical Power Analysis - can be used to assess data sufficiency and reliability. 
- Power Analysis Tools - can be used to verify if the dataset is large enough to detect meaningful 
statistical effects and support robust decision-making. 
Dimensionality Reduction Analysis (verify stability under varying data conditions): 
- PCA (Principal Component Analysis) - can be used to analyze variance in datasets and detect 
instability due to redundant or highly correlated features. 
- t-SNE - can be applied for high-dimensional data visualization to detect clustering inconsis­
tencies that may indicate bias or data drift. 
Fairness and Bias Detection Tools (verify data fairness and detect bias-related instability): 
- Fairlearn - can be used to valuate the fairness of datasets by measuring disparate impact and 
mitigating algorithmic bias. 
- IBM AI Fairness 360 - can be used for advanced bias detection, fairness metrics analysis. 
Data QualityAssessment Tools (evaluate correctness, consistency, and reliability of labeled data): 
- Talend Data Quality - can be used to detect anomalies, check data consistency, and validate 
dataset structure. ","- 10 Data and data governance 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality management system (QMS) 
60 "
DQM-05,Data tracking procedures,"• Traning of at least one integrated model was performed partially (e.g., with finetuning) or 
from scratch (Q5) ",The traceability of data shall be ensured and documented. ,Document-based ,"Supplementary Definitions 
Traceability: Refers to the ability to track, document, and verify the origin, history and transfor­
mation of data throughout its lifecycle. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Some factors to consider regarding traceability: 
- Clear identification of all data records through indexing; 
- Recording and authorization of all data changes; 
- Placing the entire data processing software and libraries under version control; 
- Consistency of metadata; 
- Safe delivery or transfer of data. ","Verify that traceability of data is ensured regarding the factors stated in the supportive guidance. 
61 ",Not applicable. ,"- 10 Data and data governance 
- 12 Record-keeping 
- 17 Quality Management System (QMS) 
- 19 Automatically generated logs 
62 "
DQM-06,Data integrity,"• Traning of at least one integrated model was performed partially (e.g., with finetuning) or 
from scratch (Q5) ",The integrity of the data shall be ensured through suitable [measures]. ,Document-based ,"Supplementary Definitions 
Integrity: In terms of data, integrity ensures that data remains unchanged, uncorrupted, and 
true to its original form through collection, storage, transmission and processing. 
Exemplary [parameters] 
[measures]: e.g., Hashing, digital signatures, version control, backups. 
Additional guidance regarding the requirement 
Data integrity should be ensured through measures such as hashing, digital signatures, version 
control, and backups. 
The following tools can be used for the implementation: 
- MLOps can be used to evaluate whether data integrity checks, such as versioning, hashing, and 
digital signatures, are integrated into the machine learning lifecycle. 
- DevOps can be used to assess if CI/CD pipelines incorporate data integrity measures, such as 
automated checks for corruption and rollback mechanisms. 
63 ","Verify that methods preserving the integrity of the used data are in place and are being used 
throughout the whole lifecycle. ",Not applicable. ,"- 10 Data and data governance 
- 17 Quality Management System (QMS) 
- 19 Automatically generated logs 
- 26 Obligations of deployers of high-risk AI systems 
64 "
DQM-07,Data decommissioning,"• Traning of at least one integrated model was performed partially (e.g., with finetuning) or 
from scratch (Q5) ",The data decommissioning process shall be documented. ,Document-based ,"Supplementary Definitions 
Data decommissioning: The process of securely and systematically retiring, archiving or dispos­
ing of data that is no longer needed. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Depending on the needs and (regulatory) requirements a plan for decommission of datasets shall 
be in place. 
Every decommission plan shall include 
-Clear descriptions and means for identification of the datasets that are covered by the decom­
mision plan 
-Requirements for the decommission of data, e.g., end of use, privacy/copyright infringements, 
etc. 
-Involved personnel/roles and corresponding responsibilities 
-Description of the decommissioning process with the main steps of identification of datasets, 
archiving of datasets (scope/extent of archiving, storage medium, encryption, etc.) and data 
65 
deletion (e.g., means of erasure such as digital override or physical destruction of media) 
Everyconducted data decommission shall be documented with a clear assignment to the datasets 
that were subject to the decommissioning. 
Furthermore, a recovery plan for decommissioned (and archived) data should be implemented 
if necessary. ","Ensurethatdatacanbedecommissioned. Verifythatthedecommissionplaniscreated,reviewed 
and met. ",Not applicable. ,"- 10 Data and data governance 
- 11 Technical Documentation 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
66 "
DQM-08,Users’ consent to the use of their data,• Personal data was used to train the involved AI models (Q6) ,"It shall be ensured that individuals provide active informed consent for the AI system to process 
and store their data. It shall be ensured that individuals can perform their right to revoke this 
consent by allowing users to request the deletion of their data and to stop its processing. ",Document-based ,"Supplementary Definitions 
Active informed consent: A type of consent where individuals actively and explicitly agree to 
the processing and storage of their data after being fully informed about the nature, purpose, 
and implications of that processing. 
Revocation of consent: The ability of individuals to withdraw their previously granted consent 
at any time, making further processing or storage of their data unlawful unless another legal 
basis exists. 
Right to deletion (Right to be forgotten): The right of individuals to have their personal data 
erased or deleted when it is no longer necessary for the purposes for which it was collected, or 
when consent has been withdrawn. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Individuals should be given clear, understandable information about: 
- What data is being processed 
67 
- Why it is being processed 
- How long it will be stored 
- Who will have access to the data 
- Any potential risk or consequences 
The applicable law for this can be taken from the GDPR. ","Verify that individuals actively consent to processing the data and that it is logged appropriately. 
Ensure that data can be deleted if it is requested by a user. ",Not applicable. ,"- 10 Data and data governance 
68 "
DQM-09,Users’ right to be forgotten,• Personal data was used to train the involved AI models (Q6) ,Measures shall be in place to realize a user’s right to be forgotten. ,Document-based ,"Supplementary Definitions 
Right to be forgotten: 
The right of individuals to have their personal data erased or deleted when it is no longer nec­
essary for the purposes for which it was collected, or when consent has been withdrawn (GDPR 
Art. 17). 
Exemplary [parameters] 
[measures]: e.g., distillation, retraining, federated learning, machine unlearning methods 
Additional guidance regarding the requirement 
Not applicable. ","Verify that a process for users to revoke their consent to usage of their personal data is in place, 
and verify that there is a process and adequate methods to delete the user’s data from datasets 
and the model. 
Additionally, it shall be verified that no information can be extracted by employing privacy at­
tacks (e.g., membership inference, prompt injection) customized to a specific individual. 
69 ",Not applicable. ,"- Recital 10 
70 "
DQM-10,Data sensitivity and necessity filtering,"• Personal data was used to train the involved AI models (Q6) AND 
• Traning of at least one integrated model was performed partially (e.g., with finetuning) or 
from scratch (Q5) ","Prior to model training, sensitive data that are not essential for the intended purpose of the 
system shall be removed or (pseudo-)anonymized to ensure compliance with data privacy reg­
ulations. ",Document-based ,"Supplementary Definitions 
Sensitive data: Data that, if disclosed, could harm or infringe on privacy rights. 
Anonymization: The process of irreversibly transforming data so that an individual can no loner 
be identified, directly or indirectly. 
Pseudonymization: The process of replacing identifiable data with pseudonyms or identifiers so 
that individuals cannot be identified without additional information. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Examples for sensitive data are among others: 
- Personal data such as names, addresses 
- Health information 
- Financial information (e.g., credit card number) 
71 
- Biometric data (e.g., fingerprints, facial recognition) 
- Racial or ethnic origin, political opinions, religious beliefs ","Verify that a functioning process is in place to remove all unneeded sensitive information from 
the data. ",Not applicable. ,"- 10 Data and data governance 
72 "
DQM-11,Documentation of development data splits,"• Traning of at least one integrated model was performed partially (e.g., with finetuning) or 
from scratch (Q5) ","A method for data splitting of the development data into training, validation and test data shall 
be defined and documented. ",Document-based ,"Supplementary Definitions 
Data splitting: Process of partitioning data in portions for model training,validation and testing. 
Training set: Used for the model training. 
Validation set: Used for hyperparameter tuning. 
Test set: Used for (final) evaluation of the model. 
Data split ratios: Proportions of data allocated to training, validation, and test sets. 
Random splitting: Random division into tain, validation and test set. 
Stratification splitting: Splitting data in such a way that data property distributions are equal 
accross train, validation and test set. 
Cross-validation: Splitting the data into multiple subsets and training and testing on diverse 
combinations of these subsets. 
Exemplary [parameters] 
Not applicable. 
73 
Additional guidance regarding the requirement 
Asuitable data splitting method, e.g., random splitting, stratification splitting or cross-validation, 
shall be chosen and documented. A reasoning for the chosen method and the data split (ratios) 
shall be given. Defined data requirements that are relevant to the development data (see DQM­
03 & DQM-04) shall also hold for the subsets for training, validation and testing resulting from 
the splitting process. Under all circumstances, for an unbiased evaluation with the ability to de­
tect potential overfitting and validate the system’s ability to generalize, the set of test data shall 
be distinct from the used training data. ","Review the documentation of the chosen method for data splitting, review the given reasoning 
and validate that the defined method was used to create the respective datasets. Validate that 
training and test dataset are distinct from each other. ",Not applicable. ,"- 10 Data and data governance 
- 11 Technical Documentation 
- 17 Quality Management System (QMS) 
- 18 Documentation Keeping 
74 "
DQM-12,Documentation of data preprocessing steps,"• Traning of at least one integrated model was performed partially (e.g., with finetuning) or 
from scratch (Q5) ",The data preparation process shall be documented. ,Document-based ,"Supplementary Definitions 
Data Preparation: The process of cleaning, transforming, and organizing raw data into a format 
suitable for analysis, modeling, or machine learning. This step ensures that data is of high qual­
ity and ready for use. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Data preparation process should consider: 
- Dataset composition; 
- Data labelling; 
- Data annotation; 
- Data quality assessment relative to the data quality measure targets established in the data 
requirements process; 
- Data quality improvement such as data cleaning; data standardization, data normalization, 
data imputation 
- Data de-identification to protect privacy; 
75 
- Data encoding; 
-Individual processing steps such as conversions, transformations, aggregations, normalization, 
format conversions, feature calculation, conversion of numerical data into categories; 
- Filtering, e.g.: detection and processing values with different measurement scales; 
- Documentation of assumptions made, in particular with regard to the information that the 
data should measure and represent; ","Verify that there is documentation describing the process of the (pre)processing of data. Ensure 
that it is adequately documented, see supporting guidance. ",Not applicable. ,"- 10 Data and data governance 
- 11 Technical Documentation 
- 17 Quality Management System (QMS) 
- 18 Documentation Keeping 
76 "
DQM-13,Data provisioning,"• Traning of at least one integrated model was performed partially (e.g., with finetuning) or 
from scratch (Q5) ",The data provisioning process shall be documented. ,Document-based ,"Supplementary Definitions 
Data provisioning: The process of making data available to users, applications, or systems in a 
secure, efficient, and controlled manner. This can involve extracting, preparing, and delivering 
data from various sources to its intended destination. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Considerations should be given to: 
Data requirements should be met before provisioning. 
Data provisioning includes: 
- Ensuring data quality when transferring or moving the data from one system to another; 
- Making data available for the model. ","Ensure that the data requirements were met. Verify that the data is available for the model and 
that the data quality is consistent when transferring data. 
77 ",Not applicable. ,"- 10 Data and data governance 
- 11 Technical Documentation 
- 17 Quality Management System (QMS) 
- 18 Documentation Keeping 
78 "
DQM-14,Data characteristics,Always relevant. ,Relevant data characteristics shall be documented. ,Document-based ,"Supplementary Definitions 
Data characteristics: Attributes or properties that describe the nature, structure, quality, and be­
havior of data. Documenting these characteristics helps ensure that data is well-understood, 
appropriately used, and suitable for its intended purpose. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Some factors to consider in the documentation: 
- Its dynamics: e.g., static, dynamic with occasional updates, dynamic real-time updates; 
- Its scale: e.g., very large (Exabyte), Large (tens of petabyte), Medium (hundreds of GB), Small 
(tens of GB or smaller); 
- Its structure: e.g., unstructured, semi-structured, structured, complex structured data; 
- Its format: e.g. CSV, JSON, XML etc.; 
-Itsprivacyrisks: e.g.,identifieddata,pseudonymiseddata,unlinkedpseudonymiseddata,anonymised 
data, aggregated data; 
- Its sensitivity, e.g. protected, confidential, public; 
79 
- Its degree of standardization: standardized data format, non-standardized data format, stan­
dardized dataset metadate, non-standardized dataset; 
-The feature’s data types: e.g. Tabular static numerical data, Temporal (longitudinal) data, image 
data, text data etc.; 
- Dependencies between features, especially in tabular data; 
- Its metadata. ",Verify that data characteristics are documented in accordance to the supportive guidance. ,Not applicable. ,"- 10 Data and data governance 
- 11 Technical Documentation 
- 13 Transparency and provision of information to deployers 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
- 26 Obligations of deployers of high-risk AI systems 
80 
Development 
Contents 
DEV-01 -Technical model documentation . . . . . . . . . . . . . . . . . . . . . . . . 
82 
DEV-02 - Documentation of pretrained model usage . . . . . . . . . . . . . . . . . . 
84 
DEV-03 - Model development policy . . . . . . . . . . . . . . . . . . . . . . . . . . . 
86 
DEV-04 - Runtime environment specification . . . . . . . . . . . . . . . . . . . . . . 
88 
DEV-05 - Model logging and versioning . . . . . . . . . . . . . . . . . . . . . . . . . 
90 
DEV-06 - Model selection process . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
92 
81 "
DEV-01,Technical model documentation,Always relevant. ,A description of the AI system shall be provided including relevant technical conditions. ,Document-based ,"Supplementary Definitions 
Not applicable. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Aspects to consider in the documentation: 
- Initial description of the AI system including relevant technical conditions and circumstances; 
- Objective and scope definition; 
- Intended usage environment for the system; 
- Expected output ranges of the system; 
- Training approach (central or federated); 
- Type of decision making (probabilistic, deterministic); 
- System architecture; 
- System requirements; 
- Relevant developer choices; 
- Input data requirements; 
- Expected ranges of the output; 
82 
- Development and lifecycle process; 
- Scale of current deployment: pilot, narrow, broad, widespread; 
- Relevant dependencies of the system on other models not directly developed or data not di­
rectly used; 
-The versions of relevant software or firmware, and anyrequirements related to version updates; 
- Information about the model(s) used in the system; 
- The description of the hardware on which the AI system is intended to run. ","Ensure that a description of the AI system is provided, including the aspects stated in the sup­
portive guidance. ",Not applicable. ,"- 10 Data and data governance 
- 11 Technical Documentation 
- 13 Transparency and provision of information to deployers 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
83 "
DEV-02,Documentation of pretrained model usage,"• The architecture is not or only partially known (Q2) OR 
• There is only partial or zero knowledge of parameters of the involved AI models (e.g. usage 
of third-party model with API access providing model results and probability scores or 
other meta-information / providing model results only) (Q3) ","If a pretrained model is used, its usage shall be justified and documented. ",Document-based ,"Supplementary Definitions 
Not applicable. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
The documentation should at least cover: 
- Why pretraining is appropriate for the task, 
-An evaluation of the Service Level Agreement (if applicable) focusing on Availability (Ensuring 
the systems are reliably accessible as per agreed-upon terms), Scalability (Confirming the infras­
tructure can handle increased loads and scale as needed), Performance (Assessing the efficiency 
and responsiveness of the systems under various conditions). 
- An exit and continuity strategy outlining how critical functionality will be maintained if the 
pretrained-model provider experiences a prolonged outage or ends the service. 
84 ","The documentation must justify, or reference, why in general a pretrained model is chosen for 
the use case and a justification for the selected pretrained model shall be given. This reasoning 
shall include the evaluation of the Service Level Agreement as stated in the supportive guidance. ",Not applicable. ,"- 10 Data and data governance 
- 11 Technical Documentation 
- 13 Transparency and provision of information to deployers 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
85 "
DEV-03,Model development policy,Always relevant. ,Model development policies and instructions shall be documented. ,Document-based ,"Supplementary Definitions 
Not applicable. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
The development policies and instructions should at least cover: 
- Requirements for training material (datasets, guides needed for system training); 
- System robustness; 
- Design; 
- Development; 
- Deployment; 
- Verification (application tests, code review etc.); 
- Validation; 
- Relevant subsystems; 
- Review and approval procedures by management. 
86 ",Verify completeness of the documentation for model development policies and instructions. ,Not applicable. ,"- 11 Technical Documentation 
- 13 Transparency and provision of information to deployers 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
87 "
DEV-04,Runtime environment specification,Always relevant. ,"The necessary runtime environment shall be determined and documented regarding hardware 
and software, to ensure compatibility and performance. ",Document-based ,"Supplementary Definitions 
Runtime Environment: 
The combination of hardware and software configurations required to execute a system or ap­
plication, including operating systems, frameworks, libraries, and physical devices essential for 
proper functionality and performance. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Aspects to consider regarding: 
- Hardware: Screen size, screen resolution, storage, network connection; 
- Software: Operating system, browser, run-time environments such as Java Run-time Environ­
ment or .NET. 
Tool which could be used during implementation: 
Hardware Detection & enumeration: 
- HWInfo 
- OS-tools (msinfo32, lspci) 
88 
SBOM generation tools: 
- Syft 
- SPDX 
- CycloneDX 
Code dependency Tracker: 
- dependency-track ","Verify that the hardware and software runtime environment has been identified, as described in 
the supportive guidance and documented accordingly. ",Not applicable. ,"- 11 Technical Documentation 
- 13 Transparency and provision of information to deployers 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
89 "
DEV-05,Model logging and versioning,Always relevant. ,"Experiments, associated metadata and SOUP (Software of Unknown Provenance, including li­
braries and frameworks) shall be tracked with appropriate measures for traceability and repro­
ducibility. ",Document-based ,"Supplementary Definitions 
Not applicable. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Considerations should be given to: 
- Test and validation results shall be reproducible; 
- Development shall be tracked by a version control system (model & dataset); 
- A new version should be assigned to every trained model, using qualifiers to distinguish be­
tween production and pre-production models 
- The development process should be tracked. 
Tool which could be used during implementation: 
SBOM generation tools: 
- Syft 
- SPDX 
90 
- CycloneDX 
Code dependency Tracker: 
- dependency-track ","Verify that experiments, associated metadata and SOUP are adequately tracked, for exemplary 
measures, see supportive guidance. ",Not applicable. ,"- 11 Technical Documentation 
- 13 Transparency and provision of information to deployers 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
91 "
DEV-06,Model selection process,Always relevant. ,"Where appropriate, multiple model types shall be trained and compared and the final model 
choice shall be justified. ",Document-based ,"Supplementary Definitions 
Multiple Models: 
The practice of training and evaluating different machine learning algorithms or architectures 
on the same task to compare their performance, robustness, and suitability before selecting the 
final model. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
Define metrics and compare e.g., regarding: 
- Correctness; 
- Robustness; 
- Explainability. 
92 ","Verify that a set of possible model candidates was defined. The different models should be 
trained. Check that the final choice of model is justified by comparing, among other things, 
correctness, robustness and explainability. ",Not applicable. ,"- 12 Record-keeping 
- 19 Automatically generated logs 
93 
Fairness 
Contents 
FAIR-01 - Potential bias and impact assessment . . . . . . . . . . . . . . . . . . . . . 
95 
FAIR-02 - Effective bias assessment . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
97 
FAIR-03 - Bias mitigation . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
99 
FAIR-04 -Accessibility 
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 101 
94 "
FAIR-01,Potential bias and impact assessment,"• Personal data was used to train the involved AI models (Q6) OR 
• The model has a societal impact (Q10) ","Sensitive features shall be identified and potential biases against individuals or groups of indi­
viduals shall be assessed and documented. ",Document-based ,"Supplementary Definitions 
A selection of potential biases: 
- Individual bias = The tendency of an AI system to make skewed decisions based on patterns 
learned from biased data related to individual preferences or characteristics, e.g. when a person 
with a university degree from a less known university applies to a job that is not recognized by 
an AI system. 
- Group bias = The tendency of an AI system to favor or disadvantage certain groups based on 
patterns learned from biased data associated with group characteristics such as gender, ethnic­
ity, or age. 
- Automation bias = Occurs when a human decision-maker prefers recommendations made by 
an automated decision-making system, even when the system makes errors, over non-automated 
information. 
- Group attribution bias = Occurs when a human assumes that what is true for one individual or 
object is also true for all individuals or objects in the group. 
- Sampling bias = Occurs when data records are not collected randomly from the intended pop­
ulation. 
- Coverage bias = Happens when the population represented in a dataset does not match the 
population that the machine learning model is making predictions about. 
- Non-normality bias = Arises when statistical methods are applied to non-normally distributed 
data. 
- Simpson’s paradox = Manifests when a trend indicated in individual groups of data reverses 
95 
when the groups of data are combined. 
Exemplary [parameters] 
Not applicable. 
Additional guidance regarding the requirement 
In order to identify potential biases, the context, purpose and relevant protected attributes for 
the use case should be considered. ","Review the documentation whether the user demographic is correctly identified. 
Verify that all of the potential biases were considered during the bias analysis and that sensitive 
features were identified. ",Not applicable. ,"- 9 Risk Management System 
- 10 Data and data governance 
- 11 Technical documentation 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
96 "
FAIR-02,Effective bias assessment,"• Personal data was used to train the involved AI models (Q6) OR 
• The model has a societal impact (Q10) ","The level of effective bias with respect to identified sensitive features in the data shall be assessed 
with [measures]. 
The selection of [measures] and reason for their selection shall be included in the system de­
scription. ",Test-based ,"Supplementary Definitions 
Sensitive features: features that were identified during the assessment in FAIR-01, e.g., gender, 
ethnicity, religion etc. 
Exemplary [parameters] 
[measures]: e.g., Absolute Standardized Mean Difference (ASMD), Adverse Impact Ratio 
Additional guidance regarding the requirement 
Not applicable. ","Assess whether sensitive features have been identified and are complete. 
Check the system description and/or the source code whether appropriate measures have been 
identified and correctly used to measure and/or mitigate the potential bias or fairness problems. 
97 ","-Aequitas -can be used as an audit tool to check if fairness reports match expected demographic 
group fairness assessments. 
- IBM AI Fairness 360 can be used for independent bias analysis to cross-check whether the AI 
system’s bias detection aligns with industry standards. ","- 9 Risk Management System 
- 10 Data and data governance 
- 11 Technical documentation 
- 13 Transparency and provision of information to deployers 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality management system (QMS) 
- 18 Documentation keeping 
98 "
FAIR-03,Bias mitigation,"• Personal data was used to train the involved AI models (Q6) OR 
• The model has a societal impact (Q10) ","If a critical level of bias is detected, the system shall test and implement a [mitigation measure]. 
Results should be compared using both [bias measures] and [performance measures]. Bias that 
is considered critical for functionality shall be documented in the system description. ",Test-based ,"Supplementary Definitions 
Critical level of bias: 
A threshold or degree of bias that, if exceeded, poses a significant risk to fairness, functionality, 
or compliance with ethical and legal standards. 
Exemplary [parameters] 
[mitigationmeasure]: e.g.,Post-Stratification,CovariateBalancingPropensityScore,InversePropen­
sity Score Weighting. 
[bias measure]: see FAIR-02. 
[performance measures]: see MON-01. 
Additional guidance regarding the requirement 
Not applicable. 
99 ","The detection mechanism must be in place and it must trigger the mitigation strategy, once 
the threshold is reached. The mitigation must now adjust aspects of the system to balance the 
output. ","- Fair Training methods, e.g. ”Learning Certified Individually Fair Representations” - can be used 
to verify whether fairness training methods work by evaluating formal fairness guarantees on 
specific test samples. 
- balance python package - the implemented diagnostics and evaluation methods such as statis­
tical summaries of weight and covariates distributions can be used to indentify potential biases. 
- AWS Sagemaker Clarify - the implemented methods and reporting can be used for pre- and 
post-training data and model training Bias detection. ","- 9 Risk Management System 
- 10 Data and data governance 
- 11 Technical documentation 
- 13 Transparency and provision of information to deployers 
- 15 Accuracy, Robustness, Resilience, Cybersecurity 
- 17 Quality Management System (QMS) 
- 18 Documentation keeping 
100 "
